Year,Area harvested (ha),Yield (hg/ha)
1961,4400,18182
1962,4400,18182
1963,2500,12000
1964,2500,12000
1965,2500,16000
1966,2500,12000
1967,2500,16000
1968,3000,20000
1969,3000,20000
1970,2000,20000
1971,1900,18421
1972,1800,17778
1973,1700,17647
1974,1600,20625
1975,1500,20667
1976,1500,18667
1977,1500,21667
1978,1500,20000
1979,1500,20000
1980,2200,27273
1981,4800,27083
1982,6283,28962
1983,6733,32099
1984,7468,30793
1985,7840,40079
1986,11347,36071
1987,8951,36819
1988,10544,35870
1989,12143,52713
1990,15025,29605
1991,17973,35879
1992,22208,32077
1993,25976,42662
1994,28975,40455
1995,32287,36924
1996,35781,31633
1997,41766,29736
1998,45152,32146
1999,50161,28489
2000,51971,24875
2001,61795,26351
2002,67194,26442
2003,74979,27325
2004,88888,18936
2005,96697,25633
2006,146010,25166
2007,119687,25048
2008,115919,22460
2009,116794,23952
2010,117603,22800
2011,112855,24835
2012,124843,22782
2013,109759,20282
2014,141019,28589
2015,142000,29577
2016,71425,48889
2017,53952,72953
2018,43946,69185
2019,44780,71700
2020,59920,59524